LastReportedND_x	LastReportedND_y	LastReportedND_z	dronesDensity	totalConflicts	conflictFrequency	currentTime	testVariable	CurrentVariable	timeScale	runTime	queueLength	citySize	BCI	FAI	HVariability	ARVariability	
0.474477	0.1190262	-0.1641791	7.13975694444444E-05	11186	254	100.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.2801407	0.2334899	0.1211408	7.17592592592593E-05	11432	215	101.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.2164683	0.2675152	-0.1107209	7.18315972222222E-05	11692	246	102.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.03367783	0.1117164	0.2165734	7.2193287037037E-05	11895	260	103.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.02862139	0.4126132	-0.00346969	7.24826388888889E-05	12124	203	104.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.1543665	0.5029907	0.08081573	7.28443287037037E-05	12360	229	105.655	SpawnRate	1	0.3	200	1	240	0.6	15	0.7	0.2	
-0.05085872	0.1235197	0.1426125	7.29890046296296E-05	12592	236	106.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.4378134	0.4158099	0.1786229	7.32783564814815E-05	12814	232	107.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.1017763	0.2216073	0.3773577	7.34953703703704E-05	13055	222	108.655	SpawnRate	1	0.3	200	1	240	0.6	15	0.7	0.2	
0.1329899	0.2598615	0.3692239	7.34230324074074E-05	13317	241	109.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.05725892	0.3348854	-0.09592101	7.33506944444444E-05	13554	262	110.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.1567966	0.3859064	-0.07551362	7.35677083333333E-05	13850	237	111.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.01827097	0.1070622	0.0638812	7.36400462962963E-05	14091	296	112.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.2178604	0.2816211	0.3976041	7.37847222222222E-05	14385	241	113.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.1535928	0.07331894	0.1482365	7.35677083333333E-05	14654	294	114.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.05216147	0.3855786	-0.006231912	7.37847222222222E-05	14929	269	115.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.1186194	0.07754453	0.1688837	7.37123842592593E-05	15199	275	116.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.04690759	0.09476332	0.4686359	7.37847222222222E-05	15440	270	117.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.03623056	0.2253988	-0.3989696	7.35677083333333E-05	15738	241	118.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.4485933	0.4993695	0.2376413	7.35677083333333E-05	15985	298	119.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.478923	0.1977823	-0.2998474	7.37847222222222E-05	16243	247	120.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.3637026	0.2867723	0.1862672	7.37847222222222E-05	16505	258	121.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.4628977	0.2671345	-0.1043787	7.4291087962963E-05	16729	262	122.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.1164435	0.09053354	0.1811735	7.4291087962963E-05	17044	224	123.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.4645926	0.2771918	0.4174038	7.39293981481481E-05	17264	315	124.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.4051888	0.3706939	-0.3416521	7.39293981481481E-05	17528	220	125.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.470127	0.1401648	0.1703452	7.37123842592593E-05	17809	264	126.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.4499433	0.3740484	0.1220729	7.39293981481481E-05	18063	281	127.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.5050126	0.2726662	0.4010126	7.34953703703704E-05	18379	254	128.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.0103748	0.2630215	-0.3729893	7.32783564814815E-05	18621	316	129.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.2977751	0.1477372	-0.04068492	7.33506944444444E-05	18881	242	130.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.2179255	0.3379597	0.05618537	7.34953703703704E-05	19157	260	131.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.4615052	0.09745156	-0.3975006	7.37123842592593E-05	19415	276	132.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.06919269	0.1061523	0.08525292	7.37123842592593E-05	19666	258	133.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.4152467	0.3694099	-0.4303634	7.32060185185185E-05	19895	251	134.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.1358862	0.2716413	0.3611506	7.37847222222222E-05	20157	229	135.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.3877888	0.3103566	0.07064152	7.31336805555556E-05	20371	262	136.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.2393656	0.3913356	-0.2888061	7.28443287037037E-05	20612	214	137.655	SpawnRate	1	0.3	200	1	240	0.6	15	0.7	0.2	
-0.07248967	0.2628788	-0.2452274	7.31336805555556E-05	20885	241	138.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.1354177	0.4398783	-0.1731272	7.29166666666667E-05	21168	273	139.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.2718706	0.2340062	0.1336444	7.31336805555556E-05	21435	283	140.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.159245	0.3823154	0.1497365	7.32060185185185E-05	21697	267	141.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.2734708	0.07733191	-0.3543844	7.31336805555556E-05	21949	262	142.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.270872	0.2259408	-0.07222939	7.29166666666667E-05	22202	252	143.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.08498646	0.2572421	-0.3710108	7.30613425925926E-05	22470	253	144.655	SpawnRate	1	0.3	200	1	240	0.6	15	0.7	0.2	
-0.2475393	0.3705792	-0.2987658	7.33506944444444E-05	22732	268	145.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.212791	0.2058568	0.4343608	7.34230324074074E-05	22999	262	146.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.2879146	0.2279076	-0.1200609	7.33506944444444E-05	23268	267	147.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.2938854	0.2556819	0.4251759	7.33506944444444E-05	23544	269	148.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.1909908	0.1162262	0.1462657	7.32783564814815E-05	23773	276	149.655	SpawnRate	1	0.3	200	1	240	0.6	15	0.7	0.2	
-0.1030376	0.3421271	0.2774216	7.31336805555556E-05	24023	229	150.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.2851222	0.2345934	0.08275267	7.35677083333333E-05	24247	250	151.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.07140509	0.3677402	-0.03751332	7.34230324074074E-05	24489	224	152.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.0115476	0.3458415	-0.0285938	7.35677083333333E-05	24737	242	153.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.1209235	0.3325475	0.1576394	7.31336805555556E-05	25019	248	154.655	SpawnRate	1	0.3	200	1	240	0.6	15	0.7	0.2	
-0.09966428	0.3805857	-0.4046841	7.34230324074074E-05	25297	282	155.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.3805255	0.3007407	0.1505085	7.38570601851852E-05	25507	278	156.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.2950078	0.2386317	-0.1200403	7.39293981481481E-05	25738	210	157.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.01453215	0.3343522	-0.1419477	7.40740740740741E-05	25942	231	158.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.2008178	0.1230662	-0.03510011	7.38570601851852E-05	26177	204	159.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.0924757	0.3551855	0.2481699	7.37847222222222E-05	26450	235	160.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.02848008	0.3675589	0.04906797	7.35677083333333E-05	26655	273	161.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.3216287	0.255735	0.4200782	7.36400462962963E-05	26904	205	162.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.1415651	0.3797571	-0.2855603	7.34953703703704E-05	27143	249	163.655	SpawnRate	1	0.3	200	1	240	0.6	15	0.7	0.2	
0.05784467	0.4283347	0.1831867	7.37847222222222E-05	27376	239	164.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.1812105	0.3625578	0.212804	7.32783564814815E-05	27668	233	165.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.1522138	0.1121541	0.4809825	7.35677083333333E-05	27942	292	166.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.1013966	0.3481724	-0.2176084	7.31336805555556E-05	28129	274	167.655	SpawnRate	1	0.3	200	1	240	0.6	15	0.7	0.2	
-0.06572666	0.3860814	-0.0175897	7.29890046296296E-05	28328	187	168.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.1078486	0.07908421	0.1688032	7.25549768518518E-05	28525	199	169.655	SpawnRate	1	0.3	200	1	240	0.6	15	0.7	0.2	
-0.1879696	0.3245079	-0.3143077	7.24826388888889E-05	28716	197	170.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.3747968	0.1103084	-0.4918571	7.25549768518518E-05	28935	191	171.655	SpawnRate	1	0.3	200	1	240	0.6	15	0.7	0.2	
0.1508219	0.2313735	-0.0645436	7.26273148148148E-05	29142	219	172.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.224068	0.2400134	-0.2091895	7.20486111111111E-05	29355	207	173.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.321254	0.3774204	0.0822634	7.20486111111111E-05	29571	213	174.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.3716148	0.3641223	0.3561281	7.19762731481481E-05	29756	216	175.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.1161126	0.3758848	0.1650916	7.19762731481481E-05	29969	185	176.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.1230035	0.1351964	0.007591629	7.13252314814815E-05	30171	213	177.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.067801	0.4670407	-0.2615626	7.10358796296296E-05	30389	202	178.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.3658901	0.2540776	-0.4722754	7.0384837962963E-05	30607	218	179.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.3337893	0.2216222	-0.3380514	7.06741898148148E-05	30845	218	180.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.1236218	0.1041063	0.3637959	7.11082175925926E-05	31042	238	181.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.357642	0.2392876	-0.4359019	7.13975694444444E-05	31281	197	182.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
