time	collisionFrequency	density	variance	alignmentGain	cohesionGain	separationGain	migrationGain	orthSepGain	a	c	speed	maxForce	flockingInterval	SOIRadius	
459.0049	0	6.25E-05	1107.69400570764	1	1	1	1	0	20	3	10	10	0.1	25	
460.0049	0	5.625E-05	824.451126708388	1	1	1	1	0	20	3	10	10	0.1	25	
461.0049	0	5.625E-05	877.270374494483	1	1	1	1	0	20	3	10	10	0.1	25	
462.0049	0	6.25E-05	809.376624945924	1	1	1	1	0	20	3	10	10	0.1	25	
463.0049	0	7.5E-05	1126.50416877164	1	1	1	1	0	20	3	10	10	0.1	25	
464.0049	0	7.5E-05	1458.44583918483	1	1	1	1	0	20	3	10	10	0.1	25	
465.0049	0	6.875E-05	931.329103320368	1	1	1	1	0	20	3	10	10	0.1	25	
466.0049	0	6.875E-05	420.657683939021	1	1	1	1	0	20	3	10	10	0.1	25	
467.0049	0	8.125E-05	519.0506871192	1	1	1	1	0	20	3	10	10	0.1	25	
468.0049	0	8.75E-05	542.197307798259	1	1	1	1	0	20	3	10	10	0.1	25	
469.0049	0	8.75E-05	490.036953631808	1	1	1	1	0	20	3	10	10	0.1	25	
470.0049	0	8.125E-05	810.581483510137	1	1	1	1	0	20	3	10	10	0.1	25	
471.0049	0	6.875E-05	1139.37923080674	1	1	1	1	0	20	3	10	10	0.1	25	
472.0049	0	6.875E-05	1015.7085247482	1	1	1	1	0	20	3	10	10	0.1	25	
473.0049	0	5.625E-05	1329.21158808049	1	1	1	1	0	20	3	10	10	0.1	25	
474.0049	0	6.25E-05	1043.06881499493	1	1	1	1	0	20	3	10	10	0.1	25	
475.0049	0	6.25E-05	643.612780720154	1	1	1	1	0	20	3	10	10	0.1	25	
476.0049	0	6.25E-05	665.238840536514	1	1	1	1	0	20	3	10	10	0.1	25	
477.0049	0	6.25E-05	648.509889667237	1	1	1	1	0	20	3	10	10	0.1	25	
478.0049	0	6.875E-05	775.349039487654	1	1	1	1	0	20	3	10	10	0.1	25	
479.0049	0	6.875E-05	1067.46028468321	1	1	1	1	0	20	3	10	10	0.1	25	
480.0049	0	6.25E-05	1641.86264644747	1	1	1	1	0	20	3	10	10	0.1	25	
481.0049	0	6.875E-05	1057.95566428136	1	1	1	1	0	20	3	10	10	0.1	25	
482.0049	0	6.25E-05	981.256654886583	1	1	1	1	0	20	3	10	10	0.1	25	
483.0049	0	7.5E-05	655.467828904825	1	1	1	1	0	20	3	10	10	0.1	25	
484.0049	0	6.25E-05	525.736422610864	1	1	1	1	0	20	3	10	10	0.1	25	
485.0049	0	6.25E-05	519.924842703027	1	1	1	1	0	20	3	10	10	0.1	25	
486.0049	0	6.25E-05	609.949942661124	1	1	1	1	0	20	3	10	10	0.1	25	
487.0049	0	6.875E-05	577.123506907939	1	1	1	1	0	20	3	10	10	0.1	25	
488.0049	0	6.25E-05	722.800157207643	1	1	1	1	0	20	3	10	10	0.1	25	
489.0049	0	7.5E-05	1106.50433608977	1	1	1	1	0	20	3	10	10	0.1	25	
490.0049	0	6.25E-05	1806.5033727102	1	1	1	1	0	20	3	10	10	0.1	25	
491.0049	0	6.25E-05	1967.63512013031	1	1	1	1	0	20	3	10	10	0.1	25	
492.0049	0	6.25E-05	2041.31987852079	1	1	1	1	0	20	3	10	10	0.1	25	
493.0049	0	6.25E-05	1579.25626009282	1	1	1	1	0	20	3	10	10	0.1	25	
494.0049	0	6.875E-05	1558.0956748766	1	1	1	1	0	20	3	10	10	0.1	25	
495.0049	1	6.25E-05	1660.6045915464	1	1	1	1	0	20	3	10	10	0.1	25	
496.0049	0	6.25E-05	1441.95284728906	1	1	1	1	0	20	3	10	10	0.1	25	
497.0049	0	6.25E-05	1595.31499757798	1	1	1	1	0	20	3	10	10	0.1	25	
498.0049	0	6.25E-05	1441.33914544831	1	1	1	1	0	20	3	10	10	0.1	25	
499.0049	0	6.25E-05	990.784343834534	1	1	1	1	0	20	3	10	10	0.1	25	
0.004882813	0	0	990.784343834534	1	1	1	1	0	20	3	10	10	0.1	25	
1.004883	0	0	990.784343834534	1	1	1	1	0	20	3	10	10	0.1	25	
2.004883	0	0	990.784343834534	1	1	1	1	0	20	3	10	10	0.1	25	
3.004883	0	0	990.784343834534	1	1	1	1	0	20	3	10	10	0.1	25	
4.004883	0	0	990.784343834534	1	1	1	1	0	20	3	10	10	0.1	25	
5.004883	0	0	990.784343834534	1	1	1	1	0	20	3	10	10	0.1	25	
6.004883	1	0	990.784343834534	1	1	1	1	0	20	3	10	10	0.1	25	
7.004883	0	0	990.784343834534	1	1	1	1	0	20	3	10	10	0.1	25	
8.004883	0	0	990.784343834534	1	1	1	1	0	20	3	10	10	0.1	25	
9.004883	0	1.25E-05	4018.57126873376	1	1	1	1	0	20	3	10	10	0.1	25	
10.00342	0	2.5E-05	2115.98505042979	1	1	1	1	0	20	3	10	10	0.1	25	
11.00488	0	3.75E-05	1329.91224675671	1	1	1	1	0	20	3	10	10	0.1	25	
12.00488	0	6.25E-05	861.21293317165	1	1	1	1	0	20	3	10	10	0.1	25	
13.00293	0	7.5E-05	1067.44943384251	1	1	1	1	0	20	3	10	10	0.1	25	
14.00488	0	5.625E-05	1012.84591522577	1	1	1	1	0	20	3	10	10	0.1	25	
15.00488	0	6.875E-05	1007.50366370351	1	1	1	1	0	20	3	10	10	0.1	25	
16.00488	0	7.5E-05	633.820732445074	1	1	1	1	0	20	3	10	10	0.1	25	
17.00488	1	6.25E-05	869.166135201106	1	1	1	1	0	20	3	10	10	0.1	25	
18.00488	0	6.875E-05	735.979390219643	1	1	1	1	0	20	3	10	10	0.1	25	
19.00488	0	8.125E-05	1006.73724312183	1	1	1	1	0	20	3	10	10	0.1	25	
20.00488	0	8.125E-05	911.803169807901	1	1	1	1	0	20	3	10	10	0.1	25	
21.00488	0	8.75E-05	896.590040844597	1	1	1	1	0	20	3	10	10	0.1	25	
22.00488	0	7.5E-05	967.481962772458	1	1	1	1	0	20	3	10	10	0.1	25	
23.00488	0	6.25E-05	715.37038836542	1	1	1	1	0	20	3	10	10	0.1	25	
24.00488	0	5E-05	939.253744249148	1	1	1	1	0	20	3	10	10	0.1	25	
25.00488	0	4.375E-05	705.615042652478	1	1	1	1	0	20	3	10	10	0.1	25	
26.00488	0	4.375E-05	283.599676521805	1	1	1	1	0	20	3	10	10	0.1	25	
27.00488	0	5E-05	1239.2728413211	1	1	1	1	0	20	3	10	10	0.1	25	
28.00488	0	5.625E-05	348.642674611693	1	1	1	1	0	20	3	10	10	0.1	25	
29.00488	0	6.25E-05	462.139847023989	1	1	1	1	0	20	3	10	10	0.1	25	
30.00488	0	7.5E-05	986.738984151575	1	1	1	1	0	20	3	10	10	0.1	25	
31.00488	0	8.75E-05	1258.78163190423	1	1	1	1	0	20	3	10	10	0.1	25	
32.00488	0	8.75E-05	1037.17950856195	1	1	1	1	0	20	3	10	10	0.1	25	
33.00488	0	8.125E-05	777.274419433212	1	1	1	1	0	20	3	10	10	0.1	25	
